## 1.1.1
## assembly	: /project/elk_bison_genomics/Masonbrink/07_blobtools2juiced/FirstScaffoldsStep0.FINAL.fasta
## coverage	 bam0 - /project/elk_bison_genomics/Masonbrink/07_blobtools2juiced/FirstScaffoldsStep0.FINAL.AllFastq_sorted.bam
## taxonomy	 tax0 - /project/elk_bison_genomics/Masonbrink/07_blobtools2juiced/AllBlasts.out
## nodesDB	: None
## taxrule	: bestsum
## min_score	: 0.0
## min_diff	: 0.0
## tax_collision_random	: False
##
# name	length	GC	N	bam0	phylum.t.6%s	phylum.s.7%s	phylum.c.8
HiC_scaffold_1	153425878	0.4033	600291	5.113	Chordata	738368248.7000294	0
HiC_scaffold_2	84233800	0.4008	70785	8.4132	Chordata	328842718.6001248	0
HiC_scaffold_3	51446134	0.4307	44223	8.425	no-hit	0.0	0
HiC_scaffold_4	40109040	0.4708	26106	9.7178	Chordata	113692787.29998519	0
HiC_scaffold_5	65376698	0.4277	38746	8.3009	Chordata	231697649.8000323	0
HiC_scaffold_6	74389547	0.3914	45619	8.7201	Chordata	283778183.7000489	0
HiC_scaffold_7	52945366	0.4208	94005	12.4558	Chordata	180662998.3999957	0
HiC_scaffold_8	59753996	0.4324	38233	8.2667	Chordata	225529629.30003035	0
HiC_scaffold_9	202	0.4109	0	0.0	Chordata	793.0999999999999	0
HiC_scaffold_10	53619296	0.3987	32752	8.4994	Chordata	194134710.7999987	0
HiC_scaffold_11	78174323	0.4156	51579	8.5322	Chordata	285416434.30006796	0
HiC_scaffold_12	94475488	0.4069	63892	8.4848	Chordata	340374307.40013146	0
HiC_scaffold_13	58374700	0.4158	42089	8.3795	Chordata	196139790.1000006	1
HiC_scaffold_14	3610	0.4116	0	1.3714	Chordata	28242.499999999993	0
HiC_scaffold_15	2876	0.4329	0	0.0	Chordata	17718.0	0
HiC_scaffold_16	1110	0.4	0	0.0	Chordata	7507.0	0
HiC_scaffold_17	2000	0.3465	0	9.9014	Chordata	10679.300000000001	0
HiC_scaffold_18	4000	0.432	0	22.2781	Chordata	14254.5	0
HiC_scaffold_19	12000	0.4191	0	12.7893	Chordata	65821.5	1
HiC_scaffold_20	5000	0.4086	0	10.8915	Chordata	23913.799999999996	0
HiC_scaffold_21	7000	0.4917	0	7.7796	Chordata	33118.3	1
HiC_scaffold_22	101859112	0.4266	76835	8.2057	Chordata	341442029.90012574	0
HiC_scaffold_23	57194	0.4692	100	6.2432	Chordata	453130.7999999994	3
HiC_scaffold_24	54069506	0.4249	39218	8.2433	Chordata	179791399.7999974	1
HiC_scaffold_25	114881886	0.4154	94667	8.4239	Chordata	430875860.0002011	0
HiC_scaffold_26	1000	0.418	0	0.0	Chordata	14181.0	1
HiC_scaffold_27	1000	0.425	0	0.0	Chordata	2756.0	0
HiC_scaffold_28	3000	0.379	0	1.6502	Chordata	32037.0	0
HiC_scaffold_29	114634550	0.403	107780	9.3076	Chordata	447279149.70023245	0
HiC_scaffold_30	74567301	0.4025	178519	19.3777	Chordata	251526460.90002623	1
HiC_scaffold_31	77667674	0.4102	47999	8.8766	Chordata	264584964.70005077	0
HiC_scaffold_32	62016400	0.3837	43161	8.849	Chordata	244220054.300027	0
HiC_scaffold_33	30591	0.5126	0	7.6062	Chordata	86049.69999999998	2
HiC_scaffold_34	127587597	0.4378	58847	8.1377	Chordata	387905941.7000543	0
HiC_scaffold_35	64409366	0.4539	52106	8.1791	Chordata	202407343.30002093	0
HiC_scaffold_36	96792768	0.4113	79597	8.4303	Chordata	320937424.30010074	0
HiC_scaffold_37	60452331	0.3888	38819	8.9895	Chordata	245476198.90003234	0
HiC_scaffold_38	91974419	0.4206	67307	8.343	Chordata	315787062.7000817	0
HiC_scaffold_39	165314	0.3779	1250	7.7852	Nematoda	2187946.6000000006	3
HiC_scaffold_40	76096888	0.4232	67982	8.2668	Chordata	265697328.9000511	0
HiC_scaffold_41	4188	0.4752	0	8.2748	Chordata	32578.0	0
HiC_scaffold_42	52046112	0.3832	40598	8.5566	Chordata	214986419.6999996	0
HiC_scaffold_43	143302	0.3981	200	17.3669	Chordata	790074.8999999999	3
HiC_scaffold_44	67986988	0.4068	59968	8.3966	Chordata	252114977.10003346	0
HiC_scaffold_45	44131293	0.4272	43410	8.3341	Chordata	157442075.2999909	0
HiC_scaffold_46	6812	0.4623	0	7.9943	Chordata	9958.5	0
HiC_scaffold_47	119	0.3866	0	0.0	Chordata	171.0	0
HiC_scaffold_48	38435081	0.4141	19968	8.4226	Chordata	133827700.49998757	0
HiC_scaffold_49	59530819	0.432	50530	8.1935	Chordata	187649591.3000102	0
HiC_scaffold_50	42800519	0.4135	19276	8.3414	Chordata	146542089.29998696	0
HiC_scaffold_51	48405700	0.441	33043	8.0933	Chordata	180890383.59999725	0
HiC_scaffold_52	82310472	0.4348	65842	9.1877	Chordata	279405321.00007296	0
HiC_scaffold_53	105340107	0.4152	83969	8.3436	Chordata	359446734.40013593	0
HiC_scaffold_54	2000	0.356	0	0.0	Chordata	12756.2	0
HiC_scaffold_55	2000	0.541	0	0.0	Chordata	18445.0	0
HiC_scaffold_56	3000	0.3853	0	1.6502	Chordata	18048.299999999996	1
HiC_scaffold_57	16000	0.3773	200	3.76	Chordata	116813.50000000001	0
HiC_scaffold_58	5000	0.401	0	2.9704	Chordata	35182.4	0
HiC_scaffold_59	8000	0.3279	200	5.0776	Chordata	23582.100000000002	0
HiC_scaffold_60	11000	0.3585	0	3.1504	Chordata	76233.2	0
HiC_scaffold_61	9000	0.4259	0	7.151	Chordata	126921.59999999999	0
HiC_scaffold_62	12000	0.4076	1567	3.3216	Chordata	107941.10000000008	1
HiC_scaffold_63	52000	0.3865	2195	4.2743	Chordata	379095.6	2
HiC_scaffold_64	4000	0.3513	0	4.9507	Chordata	32330.7	0
HiC_scaffold_65	7000	0.4746	100	0.7175	Chordata	22883.89999999999	0
HiC_scaffold_66	7000	0.4009	0	7.0724	Chordata	37296.3	1
HiC_scaffold_67	14000	0.4332	0	3.5362	Chordata	101779.70000000003	0
HiC_scaffold_68	8000	0.4004	0	3.0942	Chordata	38786.899999999994	0
HiC_scaffold_69	19000	0.3784	100	6.0246	Chordata	58655.200000000004	0
HiC_scaffold_70	2000	0.3575	0	4.9507	Chordata	7843.899999999998	1
HiC_scaffold_71	17000	0.4411	0	8.7365	Chordata	76935.6	0
HiC_scaffold_72	3000	0.3537	0	8.2511	Chordata	6282.600000000002	0
HiC_scaffold_73	2000	0.391	0	0.0	Chordata	7265.0	0
HiC_scaffold_74	29000	0.461	674	2.9712	Chordata	255815.19999999995	1
HiC_scaffold_75	31339	0.4107	200	2.5438	Chordata	426027.4	3
HiC_scaffold_76	49061	0.4024	200	18.6432	Chordata	690154.1999999998	1
HiC_scaffold_77	1000	0.27	0	0.0	Chordata	2981.0	0
HiC_scaffold_78	3715	0.3486	0	0.0	Chordata	10080.3	0
HiC_scaffold_79	6000	0.3965	0	9.0762	Chordata	17228.300000000003	0
HiC_scaffold_80	18202	0.3885	100	7.3842	Chordata	96630.20000000001	2
HiC_scaffold_81	36202	0.3965	100	13.8502	Chordata	247919.69999999998	2
HiC_scaffold_82	33398	0.4274	600	13.585	Chordata	231197.8999999999	1
HiC_scaffold_83	4000	0.4407	0	4.9507	Chordata	21823.3	0
HiC_scaffold_84	14000	0.3804	0	9.1941	Chordata	188904.0	0
HiC_scaffold_85	1000	0.401	0	0.0	Chordata	2658.2999999999997	0
HiC_scaffold_86	1000	0.385	0	9.9014	Chordata	1967.9999999999998	0
HiC_scaffold_87	6000	0.3577	0	5.7758	Chordata	21465.5	0
HiC_scaffold_88	1202	0.4459	0	0.0	Chordata	4753.8	0
HiC_scaffold_89	11000	0.4107	0	5.4007	Chordata	53931.6	1
HiC_scaffold_90	5000	0.432	0	1.9803	Chordata	20962.0	0
HiC_scaffold_91	2000	0.444	0	2.4753	Chordata	9970.0	0
HiC_scaffold_92	6000	0.4525	0	13.2018	Chordata	28653.0	0
HiC_scaffold_93	13000	0.3954	0	7.6164	Chordata	84503.60000000003	1
HiC_scaffold_94	1202	0.3453	0	0.0	Chordata	4255.0	0
HiC_scaffold_95	19000	0.4069	1753	5.4539	Chordata	144516.59999999998	1
HiC_scaffold_96	28202	0.3767	100	5.4612	Chordata	233414.7999999999	1
HiC_scaffold_97	19000	0.383	0	4.9507	Chordata	227838.49999999994	1
HiC_scaffold_98	4000	0.3885	0	7.426	Chordata	27888.899999999998	0
HiC_scaffold_99	8000	0.3511	0	4.9507	Chordata	111383.1	0
HiC_scaffold_100	10000	0.3674	0	9.9014	Chordata	97033.80000000012	0
HiC_scaffold_101	22882	0.4017	0	9.9524	Chordata	154194.19999999995	1
HiC_scaffold_102	10000	0.4215	0	9.9014	Chordata	45888.79999999999	0
HiC_scaffold_103	12000	0.375	0	8.2511	Chordata	39023.19999999999	0
HiC_scaffold_104	2000	0.399	0	4.9507	Chordata	19109.0	1
HiC_scaffold_105	2100	0.3695	100	4.9507	Chordata	5825.0	0
HiC_scaffold_106	5030	0.6419	0	10.8265	Chordata	8970.0	1
HiC_scaffold_107	8000	0.3856	0	12.9955	Chordata	72767.70000000006	1
HiC_scaffold_108	2000	0.3755	0	2.4753	Chordata	8435.0	0
HiC_scaffold_109	3000	0.3853	0	6.6009	Chordata	18730.6	0
HiC_scaffold_110	10000	0.4385	0	10.8915	Chordata	57822.599999999955	1
HiC_scaffold_111	2000	0.389	0	2.4753	Chordata	14190.0	0
HiC_scaffold_112	10000	0.4176	0	7.426	Chordata	116317.2	1
HiC_scaffold_113	2906	0.3809	0	6.8144	Chordata	19127.899999999994	0
HiC_scaffold_114	2906	0.3802	0	1.7036	Chordata	18089.0	1
HiC_scaffold_115	4094	0.3911	0	4.837	Chordata	28809.0	0
