## 1.1.1
## assembly	: /project/elk_bison_genomics/Masonbrink/06_blobtools/north_american_elk_15Jun2018_oY8t2.fasta
## coverage	 bam0 - /project/elk_bison_genomics/Masonbrink/06_blobtools/SecondRun.bam
## taxonomy	 tax0 - /project/elk_bison_genomics/Masonbrink/06_blobtools/AllBlasts.out
## nodesDB	: None
## taxrule	: bestsum
## min_score	: 0.0
## min_diff	: 0.0
## tax_collision_random	: False
##
# name	length	GC	N	bam0	phylum.t.6%s	phylum.s.7%s	phylum.c.8
ScoY8t2_1;HRSCAF=2	733497	0.3992	0	44.9485	Chordata	3466272.700000005	4
ScoY8t2_2;HRSCAF=4	549	0.5665	0	0.0	Chordata	803.0	0
ScoY8t2_3;HRSCAF=6	784	0.3763	0	0.0	Chordata	3656.0	0
ScoY8t2_4;HRSCAF=9	33513	0.4051	0	3.8394	Chordata	173216.3	0
ScoY8t2_5;HRSCAF=11	1595	0.5304	0	0.0	Chordata	1505.1999999999998	0
ScoY8t2_6;HRSCAF=12	28740	0.3738	0	3.6161	Chordata	96185.50000000006	1
ScoY8t2_7;HRSCAF=14	765	0.4183	0	0.0	Chordata	3326.0	0
ScoY8t2_8;HRSCAF=15	668	0.5644	0	0.0	Chordata	483.0	0
ScoY8t2_9;HRSCAF=16	7474	0.471	0	2.6486	Chordata	22434.79999999999	0
ScoY8t2_10;HRSCAF=17	22349	0.4525	0	3.9859	Chordata	87536.40000000001	1
ScoY8t2_11;HRSCAF=18	24120	0.4473	0	3.6932	Chordata	68316.0	0
ScoY8t2_12;HRSCAF=19	8645	0.3851	0	4.0072	Chordata	53020.8	0
ScoY8t2_13;HRSCAF=20	21263	0.4064	0	2.3275	Chordata	70228.6	0
ScoY8t2_14;HRSCAF=21	884	0.431	0	0.0	Chordata	1685.6999999999996	0
ScoY8t2_15;HRSCAF=22	715	0.5007	0	0.0	Chordata	63.9	0
ScoY8t2_16;HRSCAF=23	768	0.4102	0	0.0	Chordata	4488.0	1
ScoY8t2_17;HRSCAF=24	23702	0.3831	0	2.2968	Chordata	70966.29999999999	2
ScoY8t2_18;HRSCAF=25	2143	0.3472	0	0.0	Chordata	2814.0	0
ScoY8t2_19;HRSCAF=26	1521	0.4458	0	0.0	Chordata	2999.6000000000004	0
ScoY8t2_20;HRSCAF=27	54422	0.4246	0	10.8213	Chordata	203299.49999999983	0
ScoY8t2_21;HRSCAF=28	6897	0.3825	0	1.4351	Chordata	15782.800000000001	1
ScoY8t2_22;HRSCAF=29	19184	0.3929	0	3.8696	Chordata	63496.8	2
ScoY8t2_23;HRSCAF=30	4147	0.3685	0	1.1934	Chordata	31882.0	0
ScoY8t2_24;HRSCAF=31	18597	0.4142	0	2.395	Chordata	248218.40000000002	0
ScoY8t2_25;HRSCAF=33	668	0.3668	0	0.0	Chordata	984.5	0
ScoY8t2_26;HRSCAF=34	4323	0.5043	0	1.1448	Chordata	11850.6	0
ScoY8t2_27;HRSCAF=35	728	0.4409	0	0.0	Chordata	3867.0	0
ScoY8t2_28;HRSCAF=36	765	0.3621	0	0.0	Chordata	4301.0	0
ScoY8t2_29;HRSCAF=37	876	0.3836	0	5.6494	Chordata	1237.0	0
ScoY8t2_30;HRSCAF=39	14436	0.4089	0	2.7425	Chordata	48819.399999999994	1
ScoY8t2_31;HRSCAF=40	989	0.4338	0	0.0	Chordata	5494.0	1
ScoY8t2_32;HRSCAF=41	11798	0.3731	0	0.8389	Chordata	46396.7	0
ScoY8t2_33;HRSCAF=45	503539	0.3983	0	32.3251	Chordata	1742816.4000000004	3
ScoY8t2_34;HRSCAF=46	5889	0.4498	0	2.5211	Chordata	10667.0	0
ScoY8t2_35;HRSCAF=47	768	0.4453	0	0.0	Chordata	2203.3999999999996	0
ScoY8t2_36;HRSCAF=48	9691	0.458	0	24.0015	Chordata	49397.6	1
ScoY8t2_37;HRSCAF=49	2512	0.369	0	0.0	Chordata	4982.0	0
ScoY8t2_38;HRSCAF=50	1005	0.4876	0	0.0	no-hit	0.0	0
ScoY8t2_39;HRSCAF=51	754	0.4668	0	0.0	Chordata	2572.0	0
ScoY8t2_40;HRSCAF=52	12396	0.4	0	2.3954	Chordata	35579.0	0
ScoY8t2_41;HRSCAF=54	94801	0.4269	0	44.3726	Chordata	336550.7	0
ScoY8t2_42;HRSCAF=56	4121	0.3827	0	2.4018	Chordata	9408.3	2
